b	tsq 	asq	tcirc  	acirc
20.0 312.9 25032.0 531.1955380635097 33375.99999999999
20.100000000000005 308.2530467880393 24783.54496175836 523.3066252741733 33044.72661567781
20.200000000000003 303.69765728655983 24538.77070875404 515.5731558675665 32718.360945005374
20.300000000000004 299.23158734156635 24297.604892135198 507.9913200495414 32396.806522846924
20.400000000000006 294.85265847977 24059.976931949237 500.5574195289797 32079.969242598985
20.500000000000007 290.558755676789 23825.81796549671 493.2678637289736 31767.75728732894
20.600000000000012 286.3478252116032 23595.060797436116 486.119166144434 31460.081063248144
20.70000000000001 282.21787260352363 23367.63985157177 479.10794083978215 31156.853135429028
20.80000000000001 278.1669606281287 23143.491124260327 472.23089908069676 30857.98816568044
20.900000000000013 274.19320740878055 22922.552139374067 465.4848460941732 30563.402852498763
21.000000000000014 270.29478458049823 22704.76190476187 458.86667795141665 30273.015873015825
21.100000000000016 266.4699155231175 22490.06087015113 452.3733785683618 29986.74782686817
21.200000000000017 262.7168736608065 22278.390886436413 446.00201681884084 29704.52118191522
21.300000000000022 259.0339808251516 22069.695166302936 439.7497437556706 29426.260221737248
21.40000000000002 255.41960567914685 21863.91824613499 433.6137899351356 29151.890994846653
21.50000000000002 251.87216219955394 21661.005949161663 427.59146284056146 28881.341265548883
21.600000000000023 248.3901082152103 21460.905349794193 421.68014440086955 28614.540466392256
21.700000000000024 244.97194399897433 21263.564739110996 415.8772886001891 28351.41965214799
21.80000000000003 241.61621091110607 21068.933591448473 410.180419174789 28091.91145526463
21.900000000000027 238.32149009197738 20876.962532057245 404.5871273937531 27835.95004274299
22.00000000000003 235.08640120210273 20687.60330578507 399.0950699199907 27583.471074380086
22.10000000000003 231.90960120757435 20500.8087467496 393.70196674832687 27334.411662332797
22.20000000000003 228.78978320906634 20316.53274896512 388.4055992175576 27088.710331953494
22.300000000000033 225.72567531266 20134.730237889296 383.2038080935045 26846.306983852402
22.400000000000034 222.71603954081525 19955.35714285708 378.09449172022147 26607.142857142768
